id	smile	real_rt	pred_rt	diff	diff_sq
0149_00012	C1=CC(=C(C=C1C[C@@H](C(=O)O)N)[N+](=O)[O-])O	76.8	219.62	142.82	20397.55
0149_00037	C(C(C(C(C(C=O)N)O)O)O)OS(=O)(=O)O	80.4	102.21	21.81	475.68
0149_00022	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OC4C(C(C(C(O4)CO)O)O)O)O)O)N	97.2	72.27	24.93	621.51
0149_00005	C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)COP(=O)(O)O)O	84.0	123.86	39.86	1588.82
0149_00010	C1C(C(C(=O)C=C1C(=O)O)O)O	80.4	253.33	172.93	29904.79
0149_00041	COC1=C(C=CC(=C1)/C=C/C(=O)O)O	867.6	911.69	44.09	1943.93
0149_00071	C1[C@H](C([C@@H](CC1(C(=O)O)O)O)O)O	80.4	131.2	50.8	2580.64
0149_00068	CCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N	80.4	358.25	277.85	77200.62
0149_00065	CC(=O)NC(CC(=O)N)C(=O)O	80.4	176.97	96.57	9325.77
0149_00067	C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C4N=CNC5=O)O)O)O)O)C(=O)N	87.6	156.29	68.69	4718.32
0149_00048	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)O)O)O)N=C(NC2=O)N	87.6	81.53	6.07	36.84
0149_00045	CC(CCC(=O)NCC(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C	1350.0	1441.22	91.22	8321.08
0149_00009	C1=C(C=C(C(=C1I)O)I)CC(C(=O)O)N	763.2	813.07	49.87	2487.02
