id	smile	real_rt	pred_rt	diff	diff_sq
0258_00286	C1=C(NC=N1)CC(C(=O)O)NC(=O)CCN	40.98	77.33	36.35	1321.32
0258_00253	C1=NC2=C(N1)C(=O)NC(=N2)N	61.62	34.1	27.52	757.35
0258_01141	CC(C)NC1=NC(=NC(=N1)NCCCOC)SC	259.92	238.49	21.43	459.24
0258_00930	CC1=C(C(=CC=C1)C)N(CCOC)C(=O)CCl	301.86	296.94	4.92	24.21
0258_00378	C(CSSCCC(C(=O)O)N)C(C(=O)O)N	46.62	91.27	44.65	1993.62
0258_01041	C1=CC=C2C(=C1)NC(=N2)C3=CC=CO3	176.28	214.57	38.29	1466.12
0258_00960	CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl	395.34	382.51	12.83	164.61
0258_00140	CC(C)(CC(=O)O)CC(=O)O	168.18	101.11	67.07	4498.38
0258_01136	CC1=C(C(=CC=C1)C)N(C(C)C(=O)OC)C(=O)C2=CC=CO2	316.98	308.81	8.17	66.75
0258_00029	C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C	320.22	277.34	42.88	1838.69
0258_00997	CC(C)(C)C(C(CC1=CC=C(C=C1)Cl)N2C=NC=N2)O	309.0	334.18	25.18	634.03
0258_00908	CC(=O)NC(CC(=O)O)C(=O)O	44.58	53.14	8.56	73.27
0258_01060	C1=CC=C2C(=C1)C(=O)C(=C(C2=O)Cl)N	260.94	195.02	65.92	4345.45
0258_00060	CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C1(CCC3C2C(C(C4C3(CCC(C4)O)C)O)O)C	218.34	221.68	3.34	11.16
0258_01157	CC1=CC(=CC(=C1NC(=O)C2=CC(=NN2C3=C(C=CC=N3)Cl)Br)C(=O)NC)Cl	303.78	281.46	22.32	498.18
0258_00080	CC(C)CCCC(C)C1CCC2C1(CCC3C2C(C=C4C3(CCC(C4)O)C)O)C	351.12	413.74	62.62	3921.26
0258_00335	C(CCN=C(N)N)CN	38.76	-11.93	50.69	2569.48
0258_01079	CC1(C(=O)N(C(=N1)SC)NC2=CC=CC=C2)C3=CC=CC=C3	324.66	340.17	15.51	240.56
0258_01016	CC1=CC(=C(C(=C1)Cl)OP(=S)(OC)OC)Cl	369.06	367.56	1.5	2.25
0258_00939	CC(C)OC(=O)C(=C1SCCS1)C(=O)OC(C)C	338.34	401.19	62.85	3950.12
0258_00107	CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O	417.72	369.67	48.05	2308.8
0258_00032	C[C@H](CC[C@@H](C(C)C)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C	415.74	419.53	3.79	14.36
0258_00074	CC(C)C(=O)OC(CC(=O)[O-])C[N+](C)(C)C	127.62	148.62	21.0	441.0
0258_01083	CC1=NN(C(=C1C=NOCC2=CC=C(C=C2)C(=O)OC(C)(C)C)OC3=CC=CC=C3)C	399.48	324.78	74.7	5580.09
0258_00122	CCCCCCCC=CC(=O)O	290.4	327.47	37.07	1374.18
0258_00077	CCCCCCCCC[C@H](CC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C)O	267.42	247.81	19.61	384.55
0258_00437	C[N+](C)(C)CCOP(=O)(O)[O-]	44.94	21.24	23.7	561.69
0258_00056	CC(CCC(=O)O)C1CCC2C1(CCC3C2C(C(C4C3(CCC(C4)O)C)O)O)C	272.52	252.92	19.6	384.16
0258_00675	C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O	46.38	64.71	18.33	335.99
0258_01223	CCCCCC[N+]1=CC=CC(=C1)S(=O)(=O)[O-]	183.66	201.18	17.52	306.95
0258_00071	CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C	338.52	319.27	19.25	370.56
0258_00579	C1=CC2=C(C(=C1)O)NC(=CC2=O)C(=O)O	157.68	129.16	28.52	813.39
0258_00884	C(C(=O)O)C(CC(=O)O)(C(=O)O)O	40.8	25.88	14.92	222.61
0258_00927	CC1=CC(=C(C=C1)N=C2N(C=CS2)C)C	218.22	277.86	59.64	3556.93
0258_00955	COP(=S)(OC)OC1=NC(=C(C=C1Cl)Cl)Cl	369.72	351.94	17.78	316.13
0258_01134	CC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)F)NC(=O)C2=C(C(=CC=C2)I)C(=O)NC(C)(C)CS(=O)(=O)C	345.54	321.44	24.1	580.81
0258_00571	C1=CC=C2C(=C1)C(=CN2)CCN	174.42	201.17	26.75	715.56
0258_00667	C(CCCCC(=O)O)CCCC(=O)O	243.3	198.39	44.91	2016.91
0258_00303	C1CC(N(C1)C(=O)C(CC2=CN=CN2)NC(=O)C3CCC(=O)N3)C(=O)N	49.56	112.1	62.54	3911.25
0258_01164	C1=C(C=NC(=C1Cl)NC2=C(C=C(C(=C2[N+](=O)[O-])Cl)C(F)(F)F)[N+](=O)[O-])C(F)(F)F	383.52	341.23	42.29	1788.44
0258_01142	CC1CC(=CCC2CC(CC3(O2)CC(=NOC)C(C(O3)C(=CC(C)C)C)C)OC(=O)C4C=C(C(C5C4(C(=CC=C1)CO5)O)O)C)C	430.26	380.3	49.96	2496.0
0258_00368	C(CC(C(=O)O)N)CC(C(=O)O)N	43.68	19.65	24.03	577.44
0258_00204	C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N	161.04	119.8	41.24	1700.74
0258_00662	C1=C(C=C(C(=C1I)O)I)CC(C(=O)O)N	185.28	169.23	16.05	257.6
0258_00272	C(C(C(C(=O)O)O)C(=O)O)C(=O)O	61.62	40.48	21.14	446.9
0258_00028	C[C@]12CC[C@@H](C[C@H]1CC[C@@H]3[C@@H]2C[C@H]([C@]4([C@@]3(CC[C@@H]4C5=CC(=O)OC5)O)C)O)O	412.8	297.85	114.95	13213.5
0258_00990	CC#CC1=NC(=NC(=C1)C)NC2=CC=CC=C2	333.66	342.98	9.32	86.86
0258_01095	CC(COC1=CC=C(C=C1)OC2=CC=CC=C2)OC3=CC=CC=N3	391.62	379.43	12.19	148.6
0258_01236	CCCCCCCCCCCCCCCCCCC[N+]1=CC=CC(=C1)S(=O)(=O)[O-]	427.8	416.53	11.27	127.01
0258_00202	CC(=O)NC1C(CC(OC1C(C(CO)O)O)(C(=O)O)O)O	46.86	100.02	53.16	2825.99
