id	smile	real_rt	pred_rt	diff	diff_sq
0251_00150	C(CCCCC(=O)O)CCC/C=C/C(=O)O	246.9	249.86	2.96	8.76
0251_01069	CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=C(SC=C2)C(=O)OC	238.08	218.34	19.74	389.67
0251_00081	CCCCCCCCCCCCC[C@H](CC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C)O	280.02	279.84	0.18	0.03
0251_00592	CC(CCC(=O)NCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C	281.04	274.19	6.85	46.92
0251_01063	CC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC3COC3)C	236.1	190.95	45.15	2038.52
0251_00138	C(=C/C(=O)O)\C=C\C(=O)O	106.02	69.83	36.19	1309.72
0251_00702	CC(=O)CC(=O)OC	33.0	104.92	71.92	5172.49
0251_00359	C(C1C(C(C(C(O1)O)N)O)O)OP(=O)(O)O	31.86	33.22	1.36	1.85
0251_01225	CCCCCCCC[N+]1=CC=CC(=C1)S(=O)(=O)[O-]	220.8	229.41	8.61	74.13
0251_01222	CCCCC[N+]1=CC=CC(=C1)S(=O)(=O)[O-]	139.62	138.52	1.1	1.21
0251_00745	C1=CC(=CC=C1CC(C(=O)O)O)O	136.38	103.51	32.87	1080.44
0251_00894	C1=CC=C2C(=C1)C(=O)C=C(N2)C(=O)O	164.64	125.9	38.74	1500.79
0251_00403	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O	78.78	33.57	45.21	2043.94
0251_01000	CC(=CC(=O)OC)OP(=O)(OC)OC	230.04	121.61	108.43	11757.06
0251_00226	C1=CNC(=O)NC1=O	38.46	-4.09	42.55	1810.5
0251_01220	CCC[N+]1=CC=CC(=C1)S(=O)(=O)[O-]	44.28	61.49	17.21	296.18
0251_00067	CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C	280.98	300.82	19.84	393.63
0251_00661	C1=CC(=CC=C1CC(=O)C(=O)O)O	159.96	92.44	67.52	4558.95
0251_01224	CCCCCCC[N+]1=CC=CC(=C1)S(=O)(=O)[O-]	199.98	202.04	2.06	4.24
0251_00907	C1=CC=C(C=C1)C[C@H](C(=O)O)O	185.52	155.63	29.89	893.41
0251_00691	C(C(C(C(C=O)O)O)O)O	33.0	34.56	1.56	2.43
0251_00910	CC(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)O	142.26	111.23	31.03	962.86
0251_00128	CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O	384.6	400.51	15.91	253.13
0251_00735	CC(C)CC(C(=O)O)NC(=O)C	175.74	150.0	25.74	662.55
0251_01152	C1=CC=C(C=C1)NC(=O)NC2=CN=NS2	227.34	173.63	53.71	2884.76
0251_00176	CC/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)O	372.78	400.4	27.62	762.86
0251_00300	C(C1C(C(C(C(O1)OC2C(C(C(C(O2)CO)O)O)O)O)O)O)O	32.82	29.33	3.49	12.18
0251_00211	C(CS(=O)(=O)O)N	32.58	20.17	12.41	154.01
0251_00297	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N	118.44	145.66	27.22	740.93
0251_01084	C1CN(C(=N1)N[N+](=O)[O-])CC2=CN=C(C=C2)Cl	193.5	144.64	48.86	2387.3
0251_00893	C1=CC=C2C(=C1)C(=CN2)C=CC(=O)O	216.84	195.84	21.0	441.0
0251_01039	COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=C(C=CC=N2)C(F)(F)F)OC	275.52	255.69	19.83	393.23
0251_00828	C(CC(=O)O)C(C(=O)O)O	42.42	41.16	1.26	1.59
0251_00041	CC(CCC(=O)O)C1CCC2C1(CCC3C2CCC4C3(CCC(=O)C4)C)C	370.56	324.24	46.32	2145.54
0251_00034	CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C	492.66	421.09	71.57	5122.27
0251_00738	C1=CC=C(C=C1)CC(=O)O	136.38	148.5	12.12	146.89
0251_00910	CC(=O)NC(CC1=CC=C(C=C1)O)C(=O)O	142.26	114.08	28.18	794.11
0251_01196	CC(CCC(=O)NCC(=O)O)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C	329.28	305.43	23.85	568.82
0251_00734	C(CCCC(=O)O)CCC(=O)O	179.7	193.48	13.78	189.89
0251_00406	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OC4C(C(C(C(O4)CO)O)O)O)O)O)N	44.34	27.1	17.24	297.22
0251_00150	C(CCCCC(=O)O)CCCC=CC(=O)O	246.9	256.99	10.09	101.81
0251_00675	C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O	33.0	34.34	1.34	1.8
0251_00905	C1=C(NC(=O)NC1=O)C(=O)O	42.78	33.87	8.91	79.39
