id	smile	real_rt	pred_rt	diff	diff_sq
0151_00037	C1=NC2=C(C(=O)N1)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O	415.8	273.14	142.66	20351.87
0151_00037	C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)CO)O)O	415.8	295.46	120.34	14481.72
0151_00022	C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)O)O)O	81.0	38.88	42.12	1774.09
0151_00030	C([C@H]([C@H]([C@@H]([C@H](C(=O)O)N)O)O)O)O	72.6	-64.28	136.88	18736.13
0151_00010	C1=CC=C2C(=C1)C(=O)C=C(N2)C(=O)O	738.6	805.4	66.8	4462.24
0151_00057	C1[C@H](C([C@@H](CC1(C(=O)O)O)O)O)O	81.0	65.61	15.39	236.85
0151_00003	C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)COP(=O)(O)O)O	81.0	76.3	4.7	22.09
0151_00065	C1=NC2=C(N1)C(=O)NC(=O)N2	199.2	114.18	85.02	7228.4
0151_00048	CC(=O)NC(CCSC)C(=O)O	636.0	439.22	196.78	38722.37
0151_00045	CC1=CC2=C(C=C1C)N=C3C(=N2)C(=O)NC(=O)N3	1099.8	797.88	301.92	91155.68
0151_00027	COC1=C(C=CC(=C1)C=CC(=O)O)O	938.4	492.78	445.62	198577.19
