id	smile	real_rt	pred_rt	diff	diff_sq
0189_0202	C1=C(C(=CC(=C1O)O)O)CCN	62.8	66.02	3.22	10.37
0189_0253	C1=NC2=NC=NC(=C2N1)N	69.8	33.93	35.87	1286.66
0189_0182	CC(=O)NC(CC(=O)O)C(=O)O	76.8	94.55	17.75	315.06
0189_0065	C(C(C(=O)O)N)C(=O)O	67.0	76.86	9.86	97.22
0189_0480	C=C(CC(=O)O)C(=O)O	147.8	103.28	44.52	1982.03
0189_0290	CC(=O)NCCCCN	67.4	104.43	37.03	1371.22
0189_0110	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N	238.6	151.56	87.04	7575.96
0189_0379	C([C@@H]1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O)O	70.8	60.91	9.89	97.81
0189_0599	CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC	1139.8	899.42	240.38	57782.55
0189_0119	CN(C)C(=NCCCC(C(=O)O)N)N	64.6	84.15	19.55	382.2
0189_0108	C(C1C(C(C(C(O1)OC2C(C(C(C(O2)CO)O)O)O)O)O)O)O	67.8	44.37	23.43	548.96
0189_0026	C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O	72.6	92.02	19.42	377.14
0189_0162	C1=NC2=C(N1C3C(C(C(O3)CO)O)O)NC(=O)NC2=O	98.8	73.14	25.66	658.44
0189_0424	CC(CCC(=O)NCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C	626.4	636.76	10.36	107.33
0189_0076	C(C(C(=O)O)N)C(=O)N	66.8	76.34	9.54	91.01
0189_0473	C1=CC=C2C(=C1)C(=CC=N2)C(=O)O	95.8	351.46	255.66	65362.03
0189_0371	CC(=O)NC(CO)C(=O)O	71.6	96.15	24.55	602.7
0189_0556	C1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O	65.0	62.92	2.08	4.33
0189_0065	C([C@@H](C(=O)O)N)C(=O)O	67.0	72.67	5.67	32.15
0189_0059	C1=CC(=CN=C1)C(=O)N	78.4	112.02	33.62	1130.3
0189_0580	CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4(C(=O)CO)O)C	549.8	603.96	54.16	2933.31
0189_0505	CC(C1=CC=CC=C1)O	516.2	356.37	159.83	25545.63
0189_0401	C1=C(C=C(C(=C1I)O)I)CC(C(=O)O)N	322.4	309.05	13.35	178.22
0189_0167	[C@@H]([C@@H]([C@H](C(=O)O)O)O)([C@@H](C(=O)O)O)O	69.2	59.06	10.14	102.82
0189_0340	CN(CC(=O)O)C(=NP(=O)(O)O)N	68.8	80.97	12.17	148.11
0189_0071	C1CNC(=O)NC1=O	74.8	59.27	15.53	241.18
0189_0584	C1=CC(=C(C=C1OC2=C(C=C(C=C2I)C[C@@H](C(=O)O)N)I)I)O	491.6	455.66	35.94	1291.68
