id	smile	real_rt	pred_rt	diff	diff_sq
0223_00026	CC1=C(NC(=C1CCC(=O)O)CC2=C(C(=C(N2)C=C3C(=C(C(=O)N3)C)C=C)C)CCC(=O)O)C=C4C(=C(C(=O)N4)C=C)C	842.64	469.75	372.89	139046.95
0223_00082	CCCCC(C(=O)O)N	140.64	172.23	31.59	997.93
0223_00094	C1CC(=O)N[C@@H]1C(=O)O	75.72	147.01	71.29	5082.26
0223_00097	CCCCCCCCCCCCC/C=C/[C@H]([C@H](CO)N)O	609.42	547.18	62.24	3873.82
0223_00040	C1C(COC2=C1C=CC(=C2)O)C3=CC=C(C=C3)O	453.72	298.2	155.52	24186.47
0223_00059	C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O	414.24	276.49	137.75	18975.07
0223_00067	CSCC[C@@H](C(=O)O)N	91.26	50.22	41.04	1684.28
0223_00089	C1=CC(=CC=C1C2=[O+]C3=CC(=CC(=C3C=C2O)O)O)O	385.86	245.34	140.52	19745.87
0223_00071	CCN(CC)CCO	82.26	-31.54	113.8	12950.44
0223_00088	CCCCCCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	660.9	403.46	257.44	66275.36
0223_00037	C1=C(NC(=O)N=C1)N	82.32	-43.95	126.27	15944.11
0223_00022	CCC=CCC=CCC=CCCCCCCCC(=O)NCCO	671.1	608.35	62.75	3937.57
0223_00010	C1=CC2=C(C=C1O)C(=CN2)CC(=O)O	424.2	222.31	201.89	40759.57
0223_00104	CC1=CNC(=O)NC1=O	220.02	36.96	183.06	33510.96
0223_00068	CS(=O)CCC(C(=O)O)N	76.38	80.3	3.92	15.37
0223_00021	C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N	117.9	-2.15	120.05	14412.0
0223_00048	CC(C)CC(C(=O)O)NC(=O)CN	249.78	190.2	59.58	3549.78
0223_00105	C/C=C(\C)/C(=O)O	80.76	110.98	30.22	913.25
