id	smile	real_rt	pred_rt	diff	diff_sq
0241_00714	C(C1C(C(C(C(O1)O)O)O)O)O	36.24	83.69	47.45	2251.5
0241_00176	CC/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)O	393.78	405.66	11.88	141.13
0241_01002	C1=CC(=CC(=C1)OC2=CC=CC(=N2)C(=O)NC3=CC=C(C=C3)F)C(F)(F)F	379.26	296.36	82.9	6872.41
0241_00055	C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(C(=O)C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C	280.74	303.3	22.56	508.95
0241_00081	CCCCCCCCCCCCC[C@H](CC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C)O	316.32	320.97	4.65	21.62
0241_00632	C(CCC(=O)O)CCC(=O)O	175.62	181.55	5.93	35.16
0241_00984	CN(C)C(=O)C1=C(C=C(C=C1)NC=O)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC	249.96	225.03	24.93	621.5
0241_00154	CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O	418.86	425.98	7.12	50.69
0241_00702	CC(=O)CC(=O)OC	37.56	123.85	86.29	7445.96
0241_00371	CN1C2=C(C(=O)N(C1=O)C)NC=N2	153.18	84.73	68.45	4685.4
0241_01139	CCC(C)C1C(CCC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C	455.52	404.25	51.27	2628.61
0241_01135	C1=CC=C(C=C1)NC(=O)NC2=CC(=NC=C2)Cl	276.9	220.11	56.79	3225.1
0241_00738	C1=CC=C(C=C1)CC(=O)O	157.02	172.63	15.61	243.67
0241_00875	C(=CC(=O)O)C(=O)O	57.42	21.7	35.72	1275.92
0241_00411	CC(=O)NC1C(C(C(OC1OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)CO)O)O	39.3	64.17	24.87	618.52
0241_00066	CCCCCCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C	292.38	325.17	32.79	1075.18
0241_00915	C1=C(NC=N1)C=CC(=O)O	43.56	61.51	17.95	322.2
0241_00284	C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O	38.94	69.75	30.81	949.26
0241_01131	CNC(=N[N+](=O)[O-])NCC1CCOC1	158.76	116.72	42.04	1767.36
0241_00067	CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C	303.54	349.84	46.3	2143.69
0241_00671	C1=CC2=C(C=C1O)C(=CN2)CC(=O)O	169.8	139.09	30.71	943.1
0241_01138	CC1(CNC(=NC1)NN=C(C=CC2=CC=C(C=C2)C(F)(F)F)C=CC3=CC=C(C=C3)C(F)(F)F)C	323.4	347.02	23.62	557.9
