id	smile	real_rt	pred_rt	diff	diff_sq
0126_00082	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CSCCC(C(=O)[O-])[NH3+])O)O)N	381.6	557.47	175.87	30930.25
0126_00077	CC[C@@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)N	229.8	245.39	15.59	243.05
0126_00082	C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CSCC[C@@H](C(=O)O)N)O)O)N	381.6	448.7	67.1	4502.41
0126_00040	C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N	888.6	692.99	195.61	38263.28
0126_00059	C1=C(NC=N1)CC(C(=O)O)N	156.0	173.02	17.02	289.68
0126_00089	CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(O)OC3=CC=C(C=C3)[N+](=O)[O-])O	297.0	707.88	410.88	168822.38
0126_00071	CC(=O)NC1C(CC(OC1C(C(CO)O)O)(C(=O)O)O)O	144.6	176.12	31.52	993.51
0126_00088	CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O	260.4	234.44	25.96	673.92
0126_00037	CC(C)(CO)C(C(=O)NCCC(=O)O)O	562.8	545.73	17.07	291.39
0126_00022	C1=C(C(=O)NC(=O)N1)CO	180.0	41.42	138.58	19204.42
0126_00010	C1=CC(=CC=C1CC(C(=O)[O-])O)O	764.4	614.25	150.15	22545.02
0126_00017	C1=CC(=C(C=C1C[C@@H](C(=O)O)N)[N+](=O)[O-])O	852.0	869.67	17.67	312.23
0126_00068	CC(=O)NC(CC(=O)O)C(=O)O	210.0	235.12	25.12	631.01
0126_00040	C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N	888.6	680.63	207.97	43251.52
0126_00048	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)O)O)O)N=C(NC2=O)N	201.6	254.34	52.74	2781.51
0126_00070	CC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)O	1013.4	997.32	16.08	258.57
