id	smile	real_rt	pred_rt	diff	diff_sq
0057_00050	C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O	278.76	349.57	70.81	5014.06
0057_00037	CC1=CC(=C(C=C1)OS(=O)(=O)O)O	230.04	129.11	100.93	10186.86
0057_00022	COC1=C(C=CC(=C1)C(=O)O)OS(=O)(=O)O	120.06	173.32	53.26	2836.63
0057_00084	C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O	558.06	366.16	191.9	36825.61
0057_00010	C1=CC(=C(C=C1C(=O)O)O)O	82.92	142.92	60.0	3600.0
0057_00064	COC1=C(C=C(C=C1)C=CC(=O)O)OC2C(C(C(C(O2)C(=O)O)O)O)O	382.74	249.46	133.28	17763.56
0057_00068	C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O	431.46	498.29	66.83	4466.25
0057_00065	COC1=C(C=C(C=C1)CCC(=O)O)OC2C(C(C(C(O2)C(=O)O)O)O)O	391.74	298.64	93.1	8667.61
0057_00048	C1=CC(=CC=C1C=O)O	264.12	297.61	33.49	1121.58
0057_00045	COC1=C(C=CC(=C1)CCC(=O)O)O	244.08	295.16	51.08	2609.17
0057_00027	C1=C(C=C(C=C1O)O)C(=O)O	169.2	168.82	0.38	0.14
