id	smile	real_rt	pred_rt	diff	diff_sq
0322_00464	CC1=NC=C(C(=C1O)CN)CO	30.6	46.7	16.1	259.21
0322_00013	C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2C(=O)C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C	283.5	294.11	10.61	112.57
0322_00455	CC(=O)NC(CCSC)C(=O)O	162.0	183.82	21.82	476.11
0322_00142	C#CCCCCCCCCCCCCCCCC(=O)O	414.96	418.31	3.35	11.22
0322_01155	CC(C)OC(=O)NNC1=C(C=CC(=C1)C2=CC=CC=C2)OC	338.22	275.38	62.84	3948.86
0322_00933	CCOP(=O)(NC(C)C)OC1=CC(=C(C=C1)SC)C	348.3	303.55	44.75	2002.56
0322_01011	C1=CC(=CC=C1OC2=C3C(=CC(=CC3=NC=C2)Cl)Cl)F	389.46	374.55	14.91	222.31
0322_00776	CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O	400.8	390.07	10.73	115.13
0322_00284	C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O	34.92	84.3	49.38	2438.38
0322_01095	CC(COC1=CC=C(C=C1)OC2=CC=CC=C2)OC3=CC=CC=N3	387.78	326.67	61.11	3734.43
0322_00299	C[N+](C)(C)CC(CC(=O)[O-])OC(=O)CCCC(=O)O	54.6	71.46	16.86	284.26
0322_00280	C1=CC(=CC=C1CC(C(=O)O)N)O	49.02	77.66	28.64	820.25
0322_01130	CN(C)C(=O)NC1CCCCCCC1	311.1	291.15	19.95	398.0
0322_00399	CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)[O-]	32.22	148.79	116.57	13588.56
0322_00970	CC(C)C1CCC(C1(CN2C=NC=N2)O)CC3=CC=C(C=C3)Cl	372.48	317.74	54.74	2996.47
0322_00199	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N	149.16	137.9	11.26	126.79
0322_01006	CCCSP(=O)(OCC)OC1=C(C=C(C=C1)Br)Cl	379.32	344.48	34.84	1213.82
0322_00927	CC1=CC(=C(C=C1)N=C2N(C=CS2)C)C	218.16	287.14	68.98	4758.24
0322_01145	CC1=NNC(=O)N(C1)N=CC2=CN=CC=C2	121.38	155.58	34.2	1169.64
0322_00092	CCCCCCCCCCCC=CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	351.6	341.89	9.71	94.28
0322_01084	C1CN(C(=N1)N[N+](=O)[O-])CC2=CN=C(C=C2)Cl	208.62	187.07	21.55	464.4
0322_01024	CCOC(=O)CCN(C(C)C)SN(C)C(=O)OC1=CC=CC2=C1OC(C2)(C)C	378.06	335.05	43.01	1849.86
0322_00946	CCCN(CC)CC1COC2(O1)CCC(CC2)C(C)(C)C	305.76	358.17	52.41	2746.81
0322_01233	CCCCCCCCCCCCCCCC[N+]1=CC=CC(=C1)S(=O)(=O)[O-]	397.14	372.56	24.58	604.18
0322_00190	CCCCCC=CCC=CCC=CCC=CCCCCCC(=O)O	395.52	392.77	2.75	7.56
0322_00090	CCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C	267.24	250.6	16.64	276.89
0322_00457	C[N+](C)(C)CCCC(=O)[O-]	32.22	40.86	8.64	74.65
0322_00071	CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	367.08	337.34	29.74	884.47
0322_00671	C1=CC2=C(C=C1O)C(=CN2)CC(=O)O	163.08	172.25	9.17	84.09
0322_01164	C1=C(C=NC(=C1Cl)NC2=C(C=C(C(=C2[N+](=O)[O-])Cl)C(F)(F)F)[N+](=O)[O-])C(F)(F)F	382.38	266.61	115.77	13402.7
0322_00048	C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C	347.82	374.48	26.66	710.76
