id	smile	real_rt	pred_rt	diff	diff_sq
0004_00166	CC(CCC(=O)NCC(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C	504.0	478.62	25.38	644.14
0004_00082	CN1C(=O)C2=C(NC(=O)N2)NC1=O	252.0	239.5	12.5	156.25
0004_00126	CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O	672.0	654.76	17.24	297.22
0004_00006	C1CC(=O)N[C@@H]1C(=O)O	66.0	98.76	32.76	1073.22
0004_00136	CC(=O)N[C@@H](CC(=O)O)C(=O)O	66.0	57.25	8.75	76.56
0004_00040	C1=NC2=C(N1C3C(C(C(O3)CO)O)O)NC(=O)NC2=O	258.0	239.63	18.37	337.46
0004_00075	C1=CC=C(C=C1)/C=C/C(=O)NCC(=O)O	420.0	417.48	2.52	6.35
0004_00059	C(CCCCC(=O)O)CCCC(=O)O	456.0	417.42	38.58	1488.42
0004_00141	C(C(=O)O)C(=O)O	62.4	61.76	0.64	0.41
0004_00089	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N	66.0	126.52	60.52	3662.67
0004_00071	CCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	396.0	334.56	61.44	3774.87
0004_00088	CC12CCC(CC1CCC3C2CCC4(C3CCC4=O)C)OC5C(C(C(C(O5)C(=O)O)O)O)O	516.0	484.07	31.93	1019.52
0004_00037	C(C(=O)O)C(CC(=O)O)(C(=O)O)O	102.0	189.19	87.19	7602.1
0004_00022	C(CS(=O)(=O)O)N	54.0	284.25	230.25	53015.06
0004_00125	C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C	450.0	482.36	32.36	1047.17
0004_00010	CC(=O)NCCCC(=O)O	180.0	133.59	46.41	2153.89
0004_00104	CC12CCC3C(C1CCC2OC4C(C(C(C(O4)C(=O)O)O)O)O)CCC5=CC(=O)CCC35C	474.0	489.47	15.47	239.32
0004_00087	C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N[C@@H](CC(=O)O)C(=O)O	288.0	202.93	85.07	7236.91
0004_00068	CN1C2=C(C(=O)N(C1=O)C)NC(=O)N2	282.0	294.49	12.49	156.0
0004_00074	CC(=O)N[C@@H](CCCC(=O)O)C(=O)O	282.0	234.39	47.61	2266.71
0004_00118	C[N+](C)(C)CC(CC(=O)[O-])O	54.0	22.65	31.35	982.82
0004_00048	CC1=NC=C(C(=C1O)CO)C=O	66.0	308.42	242.42	58767.46
0004_00173	CC(C)(CO)C(C(=O)NCCC(=O)O)O	276.0	272.49	3.51	12.32
0004_00131	CSCC(C(C(C=O)O)O)O	66.0	67.5	1.5	2.25
