id	smile	real_rt	pred_rt	diff	diff_sq
0199_0204	C1C(C(OC1N2C=NC3=C2N=C(NC3=O)N)COP(=O)(O)OP(=O)(O)O)O	51.0	13.88	37.12	1377.89
0199_0257	CN(CC(=O)O)C(=NP(=O)(O)O)N	44.8	46.11	1.31	1.72
0199_0182	CC(=O)NC(CC(=O)O)C(=O)O	50.0	58.26	8.26	68.23
0199_0066	C1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)(O)O)O	46.4	34.88	11.52	132.71
0199_0496	CC(C)CC(C(=O)O)NC(=O)C	296.0	262.5	33.5	1122.25
0199_0293	C1=CN=C2C(=N1)C(=O)NC(=O)N2	58.0	25.88	32.12	1031.69
0199_0110	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N	163.2	78.54	84.66	7167.32
0199_0412	C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)N)N	121.0	73.61	47.39	2245.81
0199_0609	CC1=C(C(=O)C2=CC=CC=C2C1=O)CC=C(C)CCCC(C)CCCC(C)CCCC(C)C	844.8	934.88	90.08	8114.41
0199_0119	CN(C)C(=NCCCC(C(=O)O)N)N	41.6	63.65	22.05	486.2
0199_0108	C(C1C(C(C(C(O1)OC2C(C(C(C(O2)CO)O)O)O)O)O)O)O	45.4	25.48	19.92	396.81
0199_0042	CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)O	81.8	68.49	13.31	177.16
0199_0162	C1=NC2=C(N1C3C(C(C(O3)CO)O)O)NC(=O)NC2=O	62.8	41.04	21.76	473.5
0199_0433	C(CCCCC(=O)O)CCCCO	426.2	651.65	225.45	50827.71
0199_0077	CC(C)C(C(=O)O)N	48.2	54.71	6.51	42.38
0199_0489	C1=CC=C(C=C1)C=CC=O	639.6	472.28	167.32	27995.98
0199_0377	CC=CC=CC(=O)[O-]	356.0	343.59	12.41	154.01
0199_0625	C[C@H](CCC=C(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C	906.6	949.35	42.75	1827.56
0199_0076	C([C@@H](C(=O)O)N)C(=O)N	44.4	54.13	9.73	94.67
0199_0060	C1C(C(C(C=C1C(=O)O)O)O)O	49.0	64.55	15.55	241.8
0199_0585	CCCCCCCCCCCCCCCC(C(CO)N)O	657.0	904.64	247.64	61325.58
0199_0517	CC1=NC=C(C(=C1O)C=O)CO	44.6	75.59	30.99	960.38
0199_0407	C1=CC(=C(C=C1C=CC(=O)O)O)O	252.2	163.17	89.03	7926.34
0199_0182	CC(=O)N[C@@H](CC(=O)O)C(=O)O	50.0	56.17	6.17	38.07
0199_0368	C([C@H](COP(=O)(O)O)O)O	45.0	62.87	17.87	319.34
0199_0072	C(C(C(=O)O)O)C(=O)O	50.6	55.8	5.2	27.04
0199_0550	C1[C@H]([C@@H]([C@@H](C(O1)(CO)O)O)O)O	44.0	43.81	0.19	0.04
0199_0173	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)([O-])OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N	49.6	27.87	21.73	472.19
0199_0040	C1=NC2=NC=NC(=C2N1)N	44.8	-10.07	54.87	3010.72
0199_0262	C1=C(NC=N1)CCN	38.4	-30.61	69.01	4762.38
0199_0111	C([C@@H](C(=O)O)N)S(=O)[O-]	44.2	61.36	17.16	294.47
0199_0237	C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=C(NC3=O)N)CO)O	56.6	51.13	5.47	29.92
0199_0217	C[N+](C)(C)CC(CC(=O)[O-])O	42.4	69.47	27.07	732.78
0199_0352	CNCC(C1=CC(=C(C=C1)O)O)O	44.6	36.43	8.17	66.75
0199_0345	CN1C=NC=C1C[C@@H](C(=O)O)NC(=O)CCN	41.0	53.68	12.68	160.78
0199_0347	C(C[C@@H](C(=O)O)N)[C@H](CN)O	40.6	58.88	18.28	334.16
0199_0390	C(=CC(=O)O)C(=O)O	59.8	49.79	10.01	100.2
0199_0426	C1=C(C=C(C=C1N)O)C(=O)O	51.2	40.37	10.83	117.29
0199_0023	CC[C@H](C)[C@@H](C(=O)O)N	55.8	129.28	73.48	5399.31
0199_0211	C(C1C(C(C(C(O1)OP(=O)(O)O)O)O)O)O	46.6	44.52	2.08	4.33
