id	smile	real_rt	pred_rt	diff	diff_sq
0387_00019	CN1[C@@H](CCC1=O)C2=CN=CC=C2	123.9	112.67	11.23	126.11
0387_00037	CC(C)NCC(C1=CC(=C(C=C1)N)C#N)O	125.88	263.07	137.19	18821.1
0387_00022	CCOC1=CC=C(C=C1)NC(=O)C	334.62	390.08	55.46	3075.81
0387_00008	C[C@@H](CC1=CC=CC=C1)N	196.8	289.92	93.12	8671.34
0387_00010	C1=CC=C(C=C1)C(CN)O	99.0	247.16	148.16	21951.39
0387_00076	CC1=C(C(=CC=C1)C)OCC(=O)N[C@@H](CC2=CC=CC=C2)[C@H](C[C@H](CC3=CC=CC=C3)NC(=O)[C@H](C(C)C)N4CCCNC4=O)O	658.2	557.17	101.03	10207.06
0387_00068	CC1=CC(=NC(=N1)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)C)C	241.74	297.22	55.48	3078.03
0387_00065	COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3	550.32	303.14	247.18	61097.95
0387_00048	CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O	114.9	281.59	166.69	27785.55
0387_00045	CCNC(C)CC1=CC(=CC=C1)C(F)(F)F	372.54	374.43	1.89	3.57
0387_00027	CCOP(=O)(OCC)OCC	328.62	450.53	121.91	14862.05
