id	smile	real_rt	pred_rt	diff	diff_sq
0111_00013	CSC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O	97.2	500.78	403.58	162876.82
0111_00037	C1=NC2=C(N1)C(=O)NC=N2	216.0	232.05	16.05	257.6
0111_00022	C[N+](C)(C)CCOP(=O)(O)OP(=O)([O-])OCC1C(C(C(O1)N2C=CC(=NC2=O)N)O)O	938.4	919.49	18.91	357.59
0111_00084	C1=NC2=C(N1)C(=O)NC(=O)N2	330.6	349.99	19.39	375.97
0111_00010	C(CC(=O)O)CN=C(N)N	720.6	725.18	4.58	20.98
0111_00043	C[N+](C)(C)C[C@@H](CC(=O)[O-])O	727.8	715.82	11.98	143.52
0111_00075	C[N+](C)(C)CCOP(=O)([O-])OC[C@@H](CO)O	785.4	785.66	0.26	0.07
0111_00068	C1=C2C(=NC=N1)N=CN2	93.0	72.04	20.96	439.32
0111_00065	C[N+](C)(C)CCOP(=O)(O)O	883.8	981.42	97.62	9529.66
0111_00072	C([C@@H](C(=O)O)N)SCC(=O)O	814.2	868.66	54.46	2965.89
0111_00048	CS(=N)(=O)CCC(C(=O)O)N	788.4	764.04	24.36	593.41
0111_00045	C1=C(NC=N1)CC(CO)N	697.2	626.53	70.67	4994.24
0111_00009	CN1C=NC=C1CCN	709.2	706.06	3.14	9.86
